1984, de George Orwell
Filosofía en 11 frases, de Darío Sztajnszrajber
Fortunata y Jacinta, de Benito Pérez Galdós
Frankenstein, de Mary Shelley
Fuego y Sangre, de George R.R. Martin
Fuera de lugar, de Martín Kohan
Física de lo Imposible, de Michio Kaku
Gracias por el Fuego, de Mario Benedetti
Guerra y Paz, de León Tolstoi
Guía del Autoestopista Galáctico, de Douglas Adams
Hamlet, de William Shakespeare
Han de Islandia, de Victor Hugo
Harry Potter y el Cáliz de Fuego, de J. K. Rowling
Harry Potter y el Legado Maldito, de J. K. Rowling
Harry Potter y el Misterio del Príncipe, de J. K. Rowling
Harry Potter y el Prisionero de Azkaban, de J. K. Rowling
Harry Potter y la Cámara Secreta, de J. K. Rowling
Harry Potter y la Orden del Fénix, de J. K. Rowling
Harry Potter y la Piedra Filosofal, de J. K. Rowling
Harry Potter y las Reliquias de la Muerte, de J. K. Rowling
Hasta Luego, y Gracias por el Pescado, de Douglas Adams
Herejes, de Leonardo Padura
Historia Universal de la Infamia, de Jorge Luis Borges
Historia de dos Ciudades, de Charles Dickens
Historia de la Fealdad, de Umberto Eco
Historias Argentinas, de la Conquista al Proceso, de Pacho O'Donnell
Historias Desaforadas, de Adolfo Bioy Casares
Historias Fantásticas, de Adolfo Bioy Casares
Historias de Cronopios y de Famas, de Julio Cortázar
Historias de Diván, de Gabriel Rolón
Historias de los Señores Moc y Poc, de Luis María Pescetti
Hombres Buenos, de Arturo Pérez-Reverte
Homo Deus. Breve Historia del Mañana, de Yuval Noah Harari
Horizonte Azul, de Wilbur Smith
In Memoriam, de Henri Nouwen
Inferno, de Dan Brown
Informe sobre la Tierra: Fundamentalmente Inofensiva, de Douglas Adams
Inodoro Pereyra, de Roberto Fontanarrosa
Inventario Uno, de Mario Benedetti
Inés del Alma Mía, de Isabel Allende
Ivanhoe, de Walter Scott
Jane Eyre, de Charlotte Brontë
Jaque al Psicoanalista, de John Katzenbach
Juego de Tronos. Canción de Hielo y Fuego I, de George R.R. Martin
Juicio Final, de John Katzenbach
Juvenilia, de Miguel Cané
Kafka en la Orilla, de Haruki Murakami
La (des)educación, de Noam Chomsky
La Abadía de Northanger, de Jane Austen
La Apelación, de John Grisham
La Bailarina de Auschwitz, de Edith Eger
La Balsa de Piedra, de José Saramago
La Borra del Café, de Mario Benedetti
La Canción de Nosotros, de Eduardo Galeano
La Casa de Bernarda Alba, de Federico García Lorca
La Casa de los Espíritus, de Isabel Allende
La Casa, de Manuel Mujica Láinez
La Caverna, de José Saramago
La Caza del Submarino Ruso, de Tom Clancy
La Ciencia del Sueño, de Diego Calb
La Ciencia es Eso que Nos Pasa Mientras Estamos Ocupados Haciendo Otras Cosas, de Diego Golombek
La Ciudad de los Herejes, de Federico Andahazi
La Confesión, de John Grisham
La Conquista de la Felicidad, de Bertrand Russell
La Conspiración, de Dan Brown
La Dama de las Camelias, de Alejandro Dumas (hijo)
La Divina Comedia, de Dante Alighieri
La Fascinación de las Palabras, de Julio Cortázar
La Flecha Negra, de Robert Louis Stevenson
La Flor Mas Grande del Mundo, de José Saramago
La Fortaleza Digital, de Dan Brown
La Fuerza de las Cosas, de Simone de Beauvoir
La Gran Novela Latinoamericana, de Carlos Fuentes
La Guerra de los Mundos, de H.G. Wells
La Historia del Loco, de John Katzenbach
La Hojarasca, de Gabriel García Márquez
La Hora de La Estrella, de Clarice Lispector
La Huella, de Patricia Cornwell
La Humanidad del Genoma, de Alberto Kornblihtt
La Ilíada, de Homero Homero
La Invasión, de Ricardo Piglia
La Invención de Morel, de Adolfo Bioy Casares
La Isla Del Tesoro, de Robert Louis Stevenson
La Isla Misteriosa, de Julio Verne
La Luz Fantástica - Mundodisco 2, de Terry Pratchett
La Madre de Frankenstein, de Almudena Grandes
La Mesa de los Galanes, de Roberto Fontanarrosa
La Metamorfosis, de Franz Kafka
La Misteriosa Llama de la Reina Loana, de Umberto Eco
La Muerte de Artemio Cruz, de Carlos Fuentes
La Muerte del Comendador - Libro I, de Haruki Murakami
La Mujer Rota, de Simone de Beauvoir
La Máquina del Tiempo, de H.G. Wells
La Nieta del Señor Linh, de Philippe Claudel
La Noche de la Usina, de Eduardo Sacheri
La Odisea, de Homero Homero
La Pasión Según G.H., de Clarice Lispector
La Peste, de Albert Camus
La Presa, de Irène Némirovsky
La Quinta Libertad, de Noam Chomsky
La Rebelión de las Palabras, de Andrea Ferrari
La Regenta, de Leopoldo Alas 'Clarín'
La Región más Transparente, de Carlos Fuentes
La República, de Platón Platón
La Ruta De Los Vengadores, de Wilbur Smith
La Señora Dalloway, de Virginia Woolf
La Sombra de Heidegger, de José Pablo Feinmann
La Sombra, de John Katzenbach
La Suma de Todos los Miedos, de Tom Clancy
La Suma de los Días, de Isabel Allende
La Teoria del Todo, de Stephen Hawking
La Trama Celeste, de Adolfo Bioy Casares
La Tregua, de Mario Benedetti
La Vida, el Universo y Todo lo Demás, de Douglas Adams
La Voluntad y la Fortuna, de Carlos Fuentes
La Voz Ausente, de Gabriel Rolón
La Vuelta al Mundo en 80 Días, de Julio Verne
La chica que vivió dos veces, de David Lagercrantz
Largo Pétalo de Mar, de Isabel Allende
Las Aventuras de Huckleberry Finn, de Mark Twain
Las Aventuras de Sherlock Holmes, de Arthur Conan Doyle
Las Aventuras de Tom Sawyer, de Mark Twain
Las Intermitencias de la Muerte, de José Saramago
Las Mentiras de la Segunda Guerra Mundial, de Philippe Faverjon
Las Neuronas de Dios, de Diego Golombek
Las Olas, de Virginia Woolf
Las Venas Abiertas de América Latina, de Eduardo Galeano
Las Viudas de los Jueves, de Claudia Piñeiro
Libro Blanco, de Varios Autores Varios Autores
Lo Mucho que Te Amé, de Eduardo Sacheri
Lo Pasado Pensado, de Felipe Pigna
Los 7 Hábitos de la Gente Altamente Efectiva, de Stephen Covey
Los Años, de Virginia Woolf
Los Cuentos del Abuelo José, de Felipe Pigna
Los Diarios de Adán y Eva, de Mark Twain
Los Dientes del Tigre, de Tom Clancy
Los Fuera de Serie: Por qué unas Personas Tienen Éxito y Otras No, de Malcolm Gladwell
Los Guardianes de la Libertad, de Noam Chomsky
Los Hermanos Karamazov, de Fiodor Dostoievski
Los Hijos de los Días, de Eduardo Galeano
Los Hijos del Capitán Grant, de Julio Verne
Los Juegos del Hambre, de Suzanne Collins
Los Mandarines, de Simone de Beauvoir
Los Mejores Cuentos Policiales, de Jorge Luis Borges
Los Miserables, de Victor Hugo
Los Mitos de la Historia Argentina 2, de Felipe Pigna
Los Mitos de la Historia Argentina 3, de Felipe Pigna
Los Mitos de la Historia Argentina 4, de Felipe Pigna
Los Mitos de la Historia Argentina 5, de Felipe Pigna
Los Mitos de la Historia Argentina, de Felipe Pigna
Los Padecientes, de Gabriel Rolón
Los Perros y los Lobos, de Irène Némirovsky
Los Sueños de Los Que Está Hecha la Materia, de Stephen Hawking
Los Testamentos, de Margaret Atwood
Los Tres Mosqueteros, de Alejandro Dumas
Los Viajes de Gulliver, de Jonathan Swift
Los trabajos de Persiles y Sigismunda, de Miguel De Cervantes Saavedra
Los Árboles Mueren de Pie, de Alejandro Casona
Lucha de Clases, de Noam Chomsky
Macbeth, de William Shakespeare
Madame Bovary, de Gustave Flaubert
Mafalda: Toda Mafalda, de Quino Quino
Mago y Cristal (La Torre Oscura IV), de Stephen King
Malinche, de Laura Esquivel
Mansfield Park, de Jane Austen
Martín Fierro, de José Hernández
Matemática... ¿Estás Ahí? Episodio 100, de Adrián Paenza
Matemática... ¿Estás Ahí? Episodio 2, de Adrián Paenza
Matemática... ¿Estás Ahí? Episodio 3,14, de Adrián Paenza
Matemática... ¿Estás Ahí? La vuelta al mundo en 34 problemas y 8 historias, de Adrián Paenza
Matemática... ¿Estás Ahí?, de Adrián Paenza
Mi Planta de Naranja Lima, de José Mauro De Vasconcelos
Mi Visión del Mundo, de Albert Einstein
Miedo a la Democracia, de Noam Chomsky
Miguel Strogoff, de Julio Verne
Misticismo y Lógica, de Bertrand Russell
Moby Dick, de Herman Melville
Mort - Mundodisco 4, de Terry Pratchett
Muerte en el Nilo, de Agatha Christie
Mujeres Insolentes de la Historia 2, de Felipe Pigna
Mujeres Insolentes de la Historia, de Felipe Pigna
Mujeres Tenían Que Ser, de Felipe Pigna
Muéstrame tu Rostro, de Ignacio Larrañaga
Narciso y Goldmundo, de Hermann Hesse
Niebla, de Miguel de Unamuno
Niño Rico, Niño Listo, de Robert Kiyosaki
Noticia de un Secuestro, de Gabriel García Márquez
Novelas Ejemplares, de Miguel De Cervantes Saavedra
Noventa y Tres, de Victor Hugo
Nuestra Señora de París, de Victor Hugo
Nueve Cuentos Malvados, de Margaret Atwood
Nunca Más, de CONADEP CONADEP
Número Cero, de Umberto Eco
Odas Elementales, de Pablo Neruda
Ojos de Perro Azul, de Gabriel García Márquez
Oliver Twist, de Charles Dickens
Orgullo y Prejuicio, de Jane Austen
Origen, de Dan Brown
Orlando, de Virginia Woolf
Otelo, de William Shakespeare
Otras Inquisiciones, de Jorge Luis Borges
Padre Rico, Padre Pobre, de Robert Kiyosaki
Palabras Cruzadas, de Gabriel Rolón
Patas Arriba: Escuela del Mundo al Revés, de Eduardo Galeano
Pecar Como Dios Manda, de Federico Andahazi
Pedro Páramo, de Juan Rulfo
Personas, de Carlos Fuentes
Persuasión, de Jane Austen
Pirómides - Mundodisco 7, de Terry Pratchett
Plata Quemada, de Ricardo Piglia
Política Para Amador, de Fernando Savater
Por Qué No Soy Cristiano, de Bertrand Russell
Por Último el Corazón, de Margaret Atwood
Príncipe y Mendigo, de Mark Twain
Puro Fútbol, de Roberto Fontanarrosa
Quién no, de Claudia Piñeiro
Qué Hacer?, de Marcos Aguinis
Rayuela, de Julio Cortázar
Rebelión en la Granja, de George Orwell
Rechicero - Mundodisco 5, de Terry Pratchett
Relato De Un Náufrago, de Gabriel García Márquez
Religión y Ciencia, de Bertrand Russell
Remedio Para Melancólicos, de Ray Bradbury
Respiración Artificial, de Ricardo Piglia
Retírate Joven y Rico, de Robert Kiyosaki
Rey Lear, de William Shakespeare
Rimas, de Gustavo Adolfo Bécquer
Ritos Iguales - Mundodisco 3, de Terry Pratchett
Robots o el Sueño Eterno de las Maquinas Inteligentes, de Gonzalo Zabala
Romeo y Julieta, de William Shakespeare
Salomé, de Oscar Wilde
San Martín, de John Lynch
Sapiens. De Animales a Dioses. Breve Historia de la Humanidad, de Yuval Noah Harari
Sentido y Sensibilidad, de Jane Austen
Sexo, Drogas y Biología, de Diego Golombek
Sidi, de Arturo Pérez-Reverte
Sobre Héroes y Tumbas, de Ernesto Sabato
Stephen Hawking: su Vida y Obra, de Kitty Ferguson
Sueño en el Pabellón Rojo, de Cao Xueqin
Suite Francesa, de Irène Némirovsky
Superdotados... El Valor de Ser Padres, de Mariela Vergara Panzeri
Te Digo Más, de Roberto Fontanarrosa
Tiempos Recios, de Mario Vargas Llosa
Todo Oscuro sin Estrellas, de Stephen King
Todos los Fuegos el Fuego, de Julio Cortázar
Tormenta de Espadas. Canción de Hielo y Fuego III, de George R.R. Martin
Travesuras de la Niña Mala, de Mario Vargas Llosa
Tuya, de Claudia Piñeiro
Un Día de Cólera, de Arturo Pérez-Reverte
Un Final Perfecto, de John Katzenbach
Un Tal Lucas, de Julio Cortázar
Una Habitación Propia, de Virginia Woolf
Una Vacante Imprevista, de J. K. Rowling
Vamos A Calentar El Sol, de José Mauro De Vasconcelos
Veinte Poemas De Amor Y Una Canción Desesperada, de Pablo Neruda
Venganza de Sangre, de Wilbur Smith
Viaje al Centro de la Tierra, de Julio Verne
Viaje del Parnaso, de Miguel De Cervantes Saavedra
Vida de Shakespeare, de Victor Hugo
Vivir Para Contarla, de Gabriel García Márquez
Yerma, de Federico García Lorca
Yo No Vengo a Decir un Discurso, de Gabriel García Márquez
Yo, El Supremo, de Augusto Roa Bastos
Zorro Dorado, de Wilbur Smith
ana karenina de leon tolstoi
beloved de toni morrison
cien anos de soledad de gabriel garcia marquez
